date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-01-31,111.6366,113.9293,111.4779,113.0387,3715366,3715366,0.123453,0.109,112.7697,"Jan 31, 14",0
2014-02-03,113.0651,113.3914,109,109.2557,4245704,4245704,-3.7829,-3.347,110.2027,"Feb 3, 14",-0.033466414599601736
2014-02-04,111.1869,112.5559,109.4497,111.7424,7423602,7423602,2.4867,2.276,110.8723,"Feb 4, 14",-0.011467753963907956
2014-02-05,112.88,113.5413,111.037,112.3068,4960130,4960130,0.564356,0.505,112.0335,"Feb 5, 14",-0.006474773683703105
2014-02-06,112.5184,113.9293,112.0775,113.6648,3828431,3828431,1.358,1.209,113.3371,"Feb 6, 14",0.00553881104435909
2014-02-07,114.2556,114.9787,113.5854,114.9258,3271820,3271820,1.261,1.109,113.5456,"Feb 7, 14",0.016694282577559626
2014-02-10,114.3261,114.9963,113.7746,114.3702,3317360,3317360,-0.555537,-0.483,114.4668,"Feb 10, 14",0.01177915174183701
2014-02-11,114.3702,115.9486,114.3261,115.4989,2604237,2604237,1.1287,0.987,115.3886,"Feb 11, 14",0.021764227649468722
2014-02-12,115.6898,116.2756,115.3969,115.7786,2100646,2100646,0.279627,0.242,115.7302,"Feb 12, 14",0.02423860147011591
2014-02-13,114.7578,115.7253,114.1986,115.5123,2850607,2850607,-0.266283,-0.23,115.2593,"Feb 13, 14",0.021882771121748485
2014-02-14,115.1839,117.3319,114.9442,117.2697,3031589,3031589,1.7574,1.521,116.7536,"Feb 14, 14",0.0374296590459727
2014-02-18,117.4384,117.8289,116.8437,116.9857,2876570,2876570,-0.284034,-0.242,117.2101,"Feb 18, 14",0.03491724515586245
2014-02-19,116.5685,117.7934,115.7963,115.8851,2719359,2719359,-1.1006,-0.941,116.7624,"Feb 19, 14",0.02518075667890721
2014-02-20,115.9649,117.1899,115.428,116.7727,2155829,2155829,0.887597,0.766,116.6608,"Feb 20, 14",0.03303293473827985
2014-02-21,116.7727,117.4561,116.5419,116.7815,2574269,2574269,0.008879,0.008,116.9909,"Feb 21, 14",0.03311078418276208
2014-02-24,117.0656,118.4591,116.6661,117.3407,2454286,2454286,0.559188,0.479,117.7355,"Feb 24, 14",0.03805776251850023
2014-02-25,117.4029,118.4325,117.0389,117.9887,2865583,2865583,0.647946,0.552,121.7203,"Feb 25, 14",0.04379031252128685
2014-02-26,118.1662,118.459,117.4117,117.9265,2771103,2771103,-0.06213,-0.053,117.9653,"Feb 26, 14",0.04324005849324168
2014-02-27,117.7224,119.4532,117.1632,119.2402,3123972,3123972,1.3136,1.114,118.8704,"Feb 27, 14",0.05486174204055775
2014-02-28,119.1071,120.0035,118.8674,119.5864,3179708,3179708,0.346167,0.29,119.5866,"Feb 28, 14",0.05792440995871318
2014-03-03,118.1129,118.7697,116.8703,117.3496,2814379,2814379,-2.2368,-1.87,117.2874,"Mar 3, 14",0.038136496615760705
2014-03-04,117.0922,118.1218,116.7904,117.7668,6975609,6975609,0.41717,0.355,117.5397,"Mar 4, 14",0.04182726800644379
2014-03-05,117.749,118.9691,117.3319,118.8053,3551443,3551443,1.0385,0.882,118.3824,"Mar 5, 14",0.05101438710813196
2014-03-06,119.2668,119.5952,118.9562,119.0094,2236816,2236816,0.204147,0.172,119.1821,"Mar 6, 14",0.05281996342845409
2014-03-07,119.7195,119.826,118.681,119.036,2381391,2381391,0.026627,0.022,119.1374,"Mar 7, 14",0.05305528106745739
2014-03-10,118.9207,119.0094,118.1396,118.5479,1966251,1966251,-0.488178,-0.41,118.5354,"Mar 10, 14",0.048737290857025
2014-03-11,118.6988,118.7964,117.3647,117.6159,1928934,1928934,-0.931981,-0.786,117.9456,"Mar 11, 14",0.04049232696412813
2014-03-12,117.2253,117.8378,116.7993,117.6691,2636985,2636985,0.053255,0.045,117.4915,"Mar 12, 14",0.04096296224213472
2014-03-13,118.2195,118.6455,115.9561,116.107,2520817,2520817,-1.5622,-1.328,110.6,"Mar 13, 14",0.0271438011937504
2014-03-14,115.459,116.3732,115.1217,115.2371,2975110,2975110,-0.869849,-0.749,115.689,"Mar 14, 14",0.019448206676120586
2014-03-17,115.9738,117.7756,115.9738,117.4029,2529436,2529436,2.1657,1.879,117.3241,"Mar 17, 14",0.03860801654654553
2014-03-18,117.5981,118.255,117.3851,117.82,2032836,2032836,0.41717,0.355,117.9377,"Mar 18, 14",0.04229790328445026
2014-03-19,117.8289,117.9177,115.9028,116.4798,2141027,2141027,-1.3403,-1.138,113.624,"Mar 19, 14",0.030441786750909125
2014-03-20,116.4087,117.9177,116.1513,117.5449,2577475,2577475,1.0651,0.914,117.3861,"Mar 20, 14",0.0398642234916006
2014-03-21,118.5656,119.1514,117.962,118.1573,5920375,5920375,0.612442,0.521,115.3485,"Mar 21, 14",0.04528183710534534
2014-03-24,118.3348,118.6721,117.0568,117.536,2799616,2799616,-0.621318,-0.526,117.6024,"Mar 24, 14",0.03978548939434013
